features,model_name,measure,value
node2vec,log_reg,roc_auc_score,0.864
node2vec,log_reg,average_precision_score,0.634
node2vec,log_reg,average_precision_score_0.01,0.102
node2vec,log_reg,average_precision_score_0.05,0.113
node2vec,log_reg,average_precision_score_0.1,0.124
node2vec,random_forest,roc_auc_score,0.878
node2vec,random_forest,average_precision_score,0.611
node2vec,random_forest,average_precision_score_0.01,0.1
node2vec,random_forest,average_precision_score_0.05,0.117
node2vec,random_forest,average_precision_score_0.1,0.217
node2vec,lightgbm,roc_auc_score,0.904
node2vec,lightgbm,average_precision_score,0.706
node2vec,lightgbm,average_precision_score_0.01,0.121
node2vec,lightgbm,average_precision_score_0.05,0.282
node2vec,lightgbm,average_precision_score_0.1,0.385
node2vec,xgboost,roc_auc_score,0.909
node2vec,xgboost,average_precision_score,0.705
node2vec,xgboost,average_precision_score_0.01,0.252
node2vec,xgboost,average_precision_score_0.05,0.389
node2vec,xgboost,average_precision_score_0.1,0.429
struc2vec,log_reg,roc_auc_score,0.534
struc2vec,log_reg,average_precision_score,0.109
struc2vec,log_reg,average_precision_score_0.01,0.1
struc2vec,log_reg,average_precision_score_0.05,0.1
struc2vec,log_reg,average_precision_score_0.1,0.1
struc2vec,random_forest,roc_auc_score,0.529
struc2vec,random_forest,average_precision_score,0.114
struc2vec,random_forest,average_precision_score_0.01,0.1
struc2vec,random_forest,average_precision_score_0.05,0.1
struc2vec,random_forest,average_precision_score_0.1,0.104
struc2vec,lightgbm,roc_auc_score,0.508
struc2vec,lightgbm,average_precision_score,0.106
struc2vec,lightgbm,average_precision_score_0.01,0.1
struc2vec,lightgbm,average_precision_score_0.05,0.1
struc2vec,lightgbm,average_precision_score_0.1,0.099
struc2vec,xgboost,roc_auc_score,0.505
struc2vec,xgboost,average_precision_score,0.108
struc2vec,xgboost,average_precision_score_0.01,0.1
struc2vec,xgboost,average_precision_score_0.05,0.1
struc2vec,xgboost,average_precision_score_0.1,0.1
